,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Formatted address,User Ratings Total
48,Restaurant @ Glen Erin,ChIJa0bJH-UF12oR6mVM6ebbiT8,-37.2923386,144.6975964,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","200 Rochford Rd, Lancefield",,12
49,The Lazy Baker,ChIJd8fjPFji1moRGMoVzFOYFtw,-37.4231688,144.5641054,4.3,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']","5/21 Victoria St, Macedon",,37
50,"Kuzu Izakaya, Japanese Dining & Take Away, Macedon Ranges",ChIJhTXvndkd12oRlQV0gLFIpHI,-37.3568955,144.5263063,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","42D Anslow St, Woodend",,126
51,Restaurant @ Glen Erin,ChIJa0bJH-UF12oR6mVM6ebbiT8,-37.2923386,144.6975964,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","200 Rochford Rd, Lancefield",,12
52,Schatzi's,ChIJ0bA0O9od12oR0gwr2nYhMDw,-37.35666,144.527966,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","shop 1/104 High St, Woodend",,128
53,Sizzler Restobar,ChIJCevp3tsd12oRkZyYM-ZT-Ts,-37.358321,144.527516,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","1&2/ 80 High St, Woodend",,124
54,Braeside Mt Macedon Country Retreat and Bed & Breakfast,ChIJu4f9iafi1moR2qNxfcWZWkQ,-37.407387,144.5967,4.9,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']","47 Taylors Rd, Mount Macedon",,31
55,The Wine Collective,ChIJQW9Fszji1moRJK6oak_HcPM,-37.4109458,144.54216,4.3,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","652 Black Forest Dr, Macedon",,129
56,Khao Jaow Thai Restaurant,ChIJo6hVUdod12oRH31JlGw8l_0,-37.3578096,144.5296691,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","17 Templeton St, Woodend",,76
57,Woodend RSL Sub-Branch Inc.,ChIJfbkmBNkd12oRmNUQ6QadcnY,-37.3567397,144.5250129,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","32 Anslow St, Woodend",,13
58,Ida Red,ChIJ-at6MFji1moRAwRYFSqzNos,-37.422718,144.563425,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","14/16 Victoria St, Macedon",,129
59,Noodle Dynasty Woodend,ChIJ8ynDgtAd12oRoIH3m5gtt_A,-37.355567,144.529414,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","9/130 High St, Woodend",,57
60,Super Lekker,ChIJr8wdlIsd12oRUl2d-86-gtE,-37.3557966,144.5279268,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","2/99 High St, Woodend",,40
61,Il Caffé,ChIJxRVt49sd12oRWDUx8auAhNY,-37.35902129999999,144.5275167,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","66 High St, Woodend",,131
62,Vespas Woodend,ChIJ86kQotAd12oRCIvLTKEz5OA,-37.3553068,144.5284738,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","115 High St, Woodend",,94
63,Mr. Cafe Macedon,ChIJjy04PVji1moRju_nso_sPa4,-37.4231235,144.5641636,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","23 Victoria St, Macedon",,416
64,Double Eight Chinese Restaurant,ChIJPbxP3Nsd12oRHLRFQe2w7q4,-37.3584138,144.5275008,4.3,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","78 High St, Woodend",,71
65,Top Shop Fish and Chips,ChIJTYGd49sd12oRmJkldQC8x_Q,-37.3575098,144.5268933,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","71 High St, Woodend",,55
66,Red Door Cafe Macedon,ChIJf5SZgK7j1moR6DLpRUePtP8,-37.4323128,144.5594234,4.2,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","313 Black Forest Dr, Macedon",,112
67,"Paysanne Cafe, Woodend",ChIJvQ5XPNod12oRplQWqAPxLXk,-37.356591,144.528153,4.7,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","112 High St, Woodend",,157
68,Top of the Range Tea Rooms,ChIJNcAe6XEd12oRJKGT9KqtkIc,-37.386378,144.5759645,3.9,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","415 Cameron Dr, Mount Macedon",,328
69,The Milko,ChIJmUI-Ftod12oRvhrIN-yI2v4,-37.35637639999999,144.528219,3.9,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","118-126 High St, Woodend",,151
70,Mount Macedon Hotel,ChIJzR6pK14d12oRcS39scNnbZE,-37.4012232,144.5879782,4.1,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","694 Mount Macedon Rd, Mount Macedon",,580
71,MaisonMaloa Licenced Cafe and Gifts,ChIJaTs1F9od12oRsWN8LTa3Jlw,-37.3560003,144.5277743,3.9,"['grocery_or_supermarket', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","95 High St, Woodend",,106
72,Black Forest Farm,ChIJR6Zf5z3i1moRsUSAP0yvuyg,-37.4065604,144.5378235,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","671 Black Forest Dr, Macedon",,8
73,Macedon Chippy,ChIJ_dLlshHj1moRRX6O5pEHkaM,-37.423148,144.564546,4.7,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","29 Victoria St, Macedon",,15
74,The Macedon Lounge,ChIJOXw0Yh7j1moRiAbby41dJ8s,-37.4227438,144.5649481,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","40 Victoria St, Macedon",,3
75,Aspy,ChIJxeDpIPAI12oRy6uwQV1jQaQ,-37.2766762,144.7338257,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","32 High St, Lancefield",,93
76,Hanging Rock Cafe,ChIJEWKIcoEd12oRuAd5T5LmOwU,-37.3355816,144.5972258,3.9,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","139 S Rock Rd, Woodend",,110
