,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity
3551,Papa's Rich Noodles - Leongatha,ChIJi9Nm0EknKmsRI9NTQephAEQ,-38.4760643,145.9435899,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","Shop 6/18 Smith St, Leongatha"
3552,Repco Leongatha,ChIJl7j6hzcnKmsRBBjI7hYY7O8,-38.4792533,145.9471483,4.2,"['car_repair', 'point_of_interest', 'store', 'establishment']","64 Bair St, Leongatha"
3553,Moo's at Meeniyan,ChIJycwGlY0lKmsRKdnxCcfmu54,-38.577865,146.01492,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","89 Whitelaw St, Meeniyan"
3554,Autopro Leongatha,ChIJ3cNFaEgnKmsRYfNJvw235yM,-38.475447,145.946001,4.4,"['car_repair', 'point_of_interest', 'store', 'establishment']","3 Michael Pl, Leongatha"
3555,McDonald's Leongatha,ChIJWxJMSEknKmsRX-3i1Y4yff8,-38.4731636,145.9436996,3.3,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","28 Anderson St, Leongatha"
3556,The Rusty Windmill,ChIJ7bKZSjYnKmsRqvXi6xVN0fM,-38.477991,145.9442409,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","45 McCartin St, Leongatha"
3557,Lucinda Estate Winery / Cellar Door / Vineyard,ChIJM7eLKhEnKmsRmsGt6SXU9uM,-38.4869328,145.9628196,4.6,"['liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","108 Parr St, Leongatha"
3558,Subway,ChIJ13RibUgnKmsRjjTADsatYCg,-38.4728706,145.9442843,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","7B Anderson St, Leongatha"
3559,Fish Creek Hotel,ChIJSSTthw4xKmsR7Uk4hdtezZw,-38.6944658,146.0825936,4.3,"['lodging', 'bar', 'point_of_interest', 'establishment']","1 Old Waratah Rd, Fish Creek"
3560,Meeniyan Hotel,ChIJGeNE9pElKmsRFPuekjNnC8M,-38.5787006,146.0129276,4.4,"['bar', 'point_of_interest', 'establishment']","117 Whitelaw St, Meeniyan"
3561,The Riverview Hotel,ChIJSUSIysk_KmsRcjSGl3p_Ido,-38.69757999999999,145.865366,3.6,"['lodging', 'bar', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']","11-15 River Dr, Tarwin Lower"
3562,The Fish Creek Hotel,ChIJSSTthw4xKmsR6_qdFeiKVoU,-38.6945058,146.0826774,4.0,"['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1 Old Waratah Rd, Fish Creek"
3563,Gibsons Licensed Cafe & Larder,ChIJAQAMmAgxKmsRGjQstDTirpQ,-38.6929495,146.0813868,4.7,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","9 Falls Rd, Fish Creek"
3564,The Bird & The Wolf Cafe,ChIJeZtMjyA_KmsRoNjck2UWiXQ,-38.7003866,145.8681035,4.9,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","43 River Dr, Tarwin Lower"
3565,Moo's at Meeniyan,ChIJycwGlY0lKmsRKdnxCcfmu54,-38.577865,146.01492,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","89 Whitelaw St, Meeniyan"
